排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb,,,,
179,000921,海信家电,1.23,26.45,26.86,4.650283553875236,4.579300074460164,0.0709834794150721,,,,,,,,
180,600261,阳光照明,0.13999999999999999,3.02,3.05,4.635761589403973,4.590163934426229,0.04559765497774393,,,,,,,,
181,600480,凌云股份,0.4,8.68,8.68,4.6082949308755765,4.6082949308755765,0,,,,,,,,
182,300911,亿田智能,1,21.71,21.89,4.606172270842929,4.568296025582458,0.037876245260471286,,,,,,,,
183,300628,亿联网络,1.8,39.18,39.65,4.594180704441041,4.539722572509458,0.05445813193158333,,,,,,,,
184,601006,大秦铁路,0.21999999999999997,4.8,4.84,4.583333333333333,4.545454545454545,0.03787878787878807,,,,,,,,
185,600559,老白干酒,0.55,12.04,12.04,4.568106312292359,4.568106312292359,0,,,,,,,,
186,002690,美亚光电,0.7,15.34,15.25,4.563233376792699,4.590163934426229,-0.026930558,,,,,,,,
187,600598,北大荒,0.55,12.06,12.2,4.560530679933665,4.508196721311476,0.0523339586221887,,,,,,,,
188,300864,南大环境,0.85,18.72,18.88,4.5405982905982905,4.502118644067797,0.03847964653049374,,,,,,,,
189,600985,淮北矿业,0.75,16.52,16.5,4.539951573849879,4.545454545454546,-0.005502972,,,,,,,,
190,600015,华夏银行,0.305,6.73,6.81,4.531946508172362,4.47870778267254,0.05323872549982234,,,,,,,,
191,600182,S佳通,0.5900000000000001,13.07,13.08,4.514154552410099,4.510703363914374,0.0034511884957257877,,,,,,,,
192,601369,陕鼓动力,0.43000000000000005,9.53,9.68,4.512067156348374,4.442148760330579,0.06991839601779493,,,,,,,,
193,601009,南京银行,0.50551,11.21,11.28,4.5094558429973235,4.4814716312056735,0.027984211791650004,,,,,,,,
194,603697,有友食品,0.44,9.76,9.73,4.508196721311475,4.522096608427543,-0.013899887,,,,,,,,
195,600916,中国黄金,0.35,7.77,7.73,4.504504504504505,4.5278137128072435,-0.023309208,,,,,,,,
196,300232,洲明科技,0.24,5.33,5.38,4.50281425891182,4.4609665427509295,0.041847716160890336,,,,,,,,
197,300306,远方信息,0.43200000000000005,9.61,9.7,4.4953173777315305,4.4536082474226815,0.04170913030884904,,,,,,,,
198,600020,中原高速,0.16999999999999998,3.79,3.82,4.485488126649076,4.450261780104712,0.03522634654436452,,,,,,,,
199,601598,中国外运,0.29,6.47,6.46,4.482225656877898,4.489164086687306,-0.00693843,,,,,,,,
